ax,ay,az,gx,gy,gz,type
10012.0,2420.0,-11800.0,37.0,268.0,75.0,handsside
9668.0,2408.0,-11604.0,-196.0,-128.0,58.0,handsside
9560.0,1768.0,-11840.0,-306.0,302.0,218.0,handsside
9620.0,2180.0,-11616.0,290.0,42.0,387.0,handsside
9788.0,2148.0,-11816.0,-73.0,29.0,316.0,handsside
9504.0,1812.0,-11860.0,-425.0,-229.0,148.0,handsside
9840.0,1796.0,-11756.0,-255.0,130.0,189.0,handsside
9732.0,1712.0,-11528.0,-282.0,-32.0,-82.0,handsside
10116.0,1864.0,-11644.0,-144.0,-294.0,63.0,handsside
9152.0,2728.0,-11460.0,-696.0,-338.0,29.0,handsside
10460.0,1924.0,-11464.0,-361.0,-357.0,-530.0,handsside
10400.0,1600.0,-11632.0,-6.0,610.0,-69.0,handsside
11032.0,1612.0,-10632.0,650.0,665.0,-865.0,handsside
10420.0,1112.0,-11596.0,244.0,-350.0,697.0,handsside
10548.0,1180.0,-11072.0,-431.0,-235.0,-238.0,handsside
9808.0,1328.0,-10592.0,174.0,-359.0,585.0,handsside
9548.0,2696.0,-10608.0,-592.0,37.0,-1215.0,handsside
11700.0,860.0,-11436.0,24.0,-1411.0,455.0,handsside
11672.0,844.0,-11348.0,-1258.0,233.0,-711.0,handsside
9952.0,2364.0,-6968.0,3866.0,-707.0,4899.0,handsside
9092.0,-1144.0,-10748.0,306.0,-1450.0,-1039.0,handsside
9688.0,-84.0,-12040.0,-275.0,-1116.0,745.0,handsside
8776.0,-12.0,-11616.0,-1545.0,-511.0,-325.0,handsside
8448.0,692.0,-11884.0,207.0,-559.0,709.0,handsside
9112.0,20.0,-12168.0,-240.0,506.0,-37.0,handsside
9168.0,388.0,-11996.0,-336.0,-21.0,-90.0,handsside
9156.0,320.0,-12044.0,-343.0,-67.0,-214.0,handsside
8816.0,632.0,-12324.0,-255.0,-254.0,177.0,handsside
8988.0,712.0,-12636.0,-285.0,-70.0,22.0,handsside
8848.0,572.0,-12396.0,-359.0,-174.0,120.0,handsside
9352.0,1956.0,-11504.0,-4261.0,-472.0,237.0,handsside
7656.0,6600.0,-11644.0,-5772.0,-4038.0,2549.0,handsside
5288.0,7936.0,-17312.0,-75.0,-3777.0,2550.0,handsside
4680.0,-5648.0,-7244.0,26358.0,14816.0,-15990.0,handsside
10788.0,5368.0,-10356.0,-21429.0,2176.0,7063.0,handsside
14380.0,808.0,-5400.0,-14505.0,7082.0,13912.0,handsside
15580.0,-5004.0,-1840.0,10220.0,2486.0,6446.0,handsside
10880.0,-1852.0,-14064.0,32767.0,-17983.0,-9824.0,handsside
13604.0,-924.0,-11992.0,-11046.0,3650.0,501.0,handsside
5284.0,-4416.0,-6588.0,-32768.0,-8029.0,14605.0,handsside
21096.0,-2616.0,-1228.0,2367.0,707.0,-445.0,handsside
12032.0,-5808.0,-1836.0,31227.0,-7455.0,-10966.0,handsside
13452.0,-1432.0,-7448.0,-472.0,435.0,-1849.0,handsside
14896.0,2900.0,-6432.0,-32768.0,-565.0,1677.0,handsside
16784.0,-14204.0,4756.0,-6571.0,2357.0,8980.0,handsside
13620.0,-3656.0,1464.0,14518.0,-696.0,13958.0,handsside
11144.0,-3416.0,-1860.0,18248.0,-8012.0,-14642.0,handsside
15624.0,1084.0,-7144.0,11711.0,-1509.0,2047.0,handsside
17728.0,-6552.0,-5208.0,-28071.0,12289.0,-2644.0,handsside
18740.0,-13052.0,2952.0,-7790.0,14091.0,12265.0,handsside
15712.0,-3424.0,588.0,1662.0,-1465.0,-1518.0,handsside
15420.0,-5856.0,232.0,14285.0,-7296.0,-5763.0,handsside
15276.0,-172.0,-8392.0,17950.0,-6593.0,-1816.0,handsside
15112.0,900.0,-8452.0,-9620.0,1245.0,3197.0,handsside
